Fezandipiti / Alakazam,941.6,Marnie's Grimmsnarl / Marnie's Morgrem,974.2
Lopunny / Froslass,913.0,Marnie's Grimmsnarl / Marnie's Morgrem,954.4
Marnie's Grimmsnarl / Marnie's Morgrem,1074.1,Cynthia's Garchomp / Cynthia's Gabite,1082.7
Fezandipiti / Alakazam,941.6,Marnie's Grimmsnarl / Marnie's Morgrem,930.9
Marnie's Grimmsnarl / Marnie's Morgrem,1002.4,Marnie's Grimmsnarl / Marnie's Morgrem,997.8
N’s Zoroark / N’s Zorua,891.8,Team Rocket's Mewtwo / Team Rocket's Spidops,1004.4
Fezandipiti / Alakazam,1061.7,Marnie's Grimmsnarl / Marnie's Morgrem,930.9
Marnie's Grimmsnarl / Marnie's Morgrem,973.6,Marnie's Grimmsnarl / Marnie's Morgrem,988.6
Kangaskhan / Cornerstone Mask Ogerpon,1081.7,Teal Mask Ogerpon / Hero’s Cape,1008.0
Marnie's Grimmsnarl / Marnie's Morgrem,1011.0,Marnie's Grimmsnarl / Marnie's Morgrem,974.2
Fezandipiti / Alakazam,994.9,Marnie's Grimmsnarl / Marnie's Morgrem,945.9
Marnie's Grimmsnarl / Marnie's Morgrem,959.2,Marnie's Grimmsnarl / Marnie's Morgrem,1074.1
Marnie's Grimmsnarl / Marnie's Morgrem,1074.1,Venusaur / Teal Mask Ogerpon,739.9
Fezandipiti / Alakazam,1189.4,Marnie's Grimmsnarl / Marnie's Morgrem,1134.4
Lopunny / Froslass,998.5,Lopunny / Dudunsparce,1054.9
Fezandipiti / Alakazam,941.6,Dragapult / Meowth,1104.0
Lopunny / Froslass,913.0,Fezandipiti / Alakazam,1013.1
Cynthia's Garchomp / Cynthia's Gabite,1082.7,Marnie's Grimmsnarl / Marnie's Morgrem,1002.4
Marnie's Grimmsnarl / Marnie's Morgrem,973.6,Fezandipiti / Alakazam,911.6
Kangaskhan / Cornerstone Mask Ogerpon,1081.7,Thwackey / Dipplin,929.6
Marnie's Grimmsnarl / Marnie's Morgrem,1015.3,Lopunny / Dudunsparce,933.5
Lopunny / Froslass,997.9,Marnie's Grimmsnarl / Marnie's Morgrem,1111.6
Fezandipiti / Alakazam,969.0,Kangaskhan / Crustle,981.5
Thwackey / Dipplin,1075.3,Fezandipiti / Alakazam,941.6
Fezandipiti / Thwackey,954.3,Marnie's Grimmsnarl / Marnie's Morgrem,1002.4
N’s Zoroark / N’s Zorua,891.8,Marnie's Grimmsnarl / Marnie's Morgrem,930.9
Kangaskhan / Latias,1081.7,Marnie's Grimmsnarl / Marnie's Morgrem,1037.2
Marnie's Grimmsnarl / Marnie's Morgrem,1036.7,Lopunny / Froslass,879.9
Hydrapple / Teal Mask Ogerpon,920.9,Marnie's Grimmsnarl / Marnie's Morgrem,903.0
Lucario / Hariyama,1203.5,Fezandipiti / Alakazam,941.6
Kangaskhan / Teal Mask Ogerpon,1169.7,Fezandipiti / Alakazam,1189.4
Fezandipiti / Alakazam,1099.6,Kangaskhan / Teal Mask Ogerpon,1169.7
Marnie's Grimmsnarl / Marnie's Morgrem,1037.2,Lopunny / Froslass,879.9
Dragapult / Meowth,870.9,Lopunny / Froslass,1185.1
Lopunny / Froslass,1063.2,Teal Mask Ogerpon / Tapu Bulu,1056.8
Lopunny / Dudunsparce,1032.3,Team Rocket's Mewtwo / Team Rocket's Spidops,935.1
Kangaskhan / Crustle,1063.2,Fezandipiti / Alakazam,941.6
Marnie's Grimmsnarl / Marnie's Morgrem,1134.4,Cynthia's Garchomp / Cynthia's Gabite,1082.7
Marnie's Grimmsnarl / Marnie's Morgrem,1002.4,Dragapult / Meowth,1006.7
Marnie's Grimmsnarl / Marnie's Morgrem,981.3,Lopunny / Froslass,885.4
Teal Mask Ogerpon / Hero’s Cape,1008.0,Marnie's Grimmsnarl / Marnie's Morgrem,973.6
Lopunny / Froslass,1004.4,Marnie's Grimmsnarl / Marnie's Morgrem,930.9
Kangaskhan / Cornerstone Mask Ogerpon,1081.7,Marnie's Grimmsnarl / Marnie's Morgrem,1189.4
Marnie's Grimmsnarl / Marnie's Morgrem,1074.1,Lopunny / Froslass,963.8
Marnie's Grimmsnarl / Marnie's Morgrem,968.2,Marnie's Grimmsnarl / Marnie's Morgrem,1074.1
Marnie's Grimmsnarl / Marnie's Morgrem,1035.4,Hydrapple / Teal Mask Ogerpon,920.9
Lucario / Hariyama,1203.5,Hydrapple / Teal Mask Ogerpon,1166.1
Marnie's Grimmsnarl / Marnie's Morgrem,1078.2,Dragapult / Meowth,1006.7
Marnie's Grimmsnarl / Marnie's Morgrem,1189.4,Fezandipiti / Alakazam,948.8
Marnie's Grimmsnarl / Marnie's Morgrem,1111.6,Crustle / Dwebble,950.2
Lopunny / Froslass,963.8,Dragapult / Meowth,870.9
Lopunny / Froslass,1063.2,Lopunny / Dudunsparce,1032.3
Cynthia's Garchomp / Cynthia's Gabite,913.4,Fezandipiti / Alakazam,969.0
Lucario / Dudunsparce,987.1,Marnie's Grimmsnarl / Marnie's Morgrem,893.9
Fezandipiti / Alakazam,941.6,Marnie's Grimmsnarl / Marnie's Morgrem,895.4
Fezandipiti / Alakazam,941.6,Marnie's Grimmsnarl / Marnie's Morgrem,940.5
Fezandipiti / Alakazam,969.0,Marnie's Grimmsnarl / Marnie's Morgrem,1002.4
N’s Zoroark / N’s Zorua,891.8,Lopunny / Froslass,1049.2
Lopunny / Dudunsparce,933.5,Marnie's Grimmsnarl / Marnie's Morgrem,1051.2
Marnie's Grimmsnarl / Marnie's Morgrem,1074.1,Lopunny / Dudunsparce,1054.9
Marnie's Grimmsnarl / Marnie's Morgrem,945.9,Venusaur / Teal Mask Ogerpon,739.9
Teal Mask Ogerpon / Hero’s Cape,631.9,Marnie's Grimmsnarl / Marnie's Morgrem,968.2
Lucario / Hariyama,1203.5,Fezandipiti / Alakazam,991.9
Teal Mask Ogerpon / Hero’s Cape,1008.0,Marnie's Grimmsnarl / Marnie's Morgrem,953.9
Marnie's Grimmsnarl / Marnie's Morgrem,1111.6,Cornerstone Mask Ogerpon / Crustle,959.6
Teal Mask Ogerpon / Tapu Bulu,1056.8,Hydrapple / Teal Mask Ogerpon,873.6
Lopunny / Dudunsparce,1032.3,Lopunny / Teal Mask Ogerpon,999.2
Lopunny / Dudunsparce,913.4,Lopunny / Froslass,913.0
Lopunny / Lillie’s Clefairy,801.5,Fezandipiti / Alakazam,941.6
Marnie's Grimmsnarl / Marnie's Morgrem,1074.1,Fezandipiti / Alakazam,941.6
Cynthia's Garchomp / Cynthia's Gabite,1082.7,Kangaskhan / Crustle,1066.9
Lopunny / Froslass,1084.1,Marnie's Grimmsnarl / Marnie's Morgrem,1002.4
